0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
29.560870,33.347642,32.931325,32.904254,33.233256,33.265359,33.435045,33.498565,33.592645,32.737499
16.139115,18.133093,17.816206,17.845141,18.258499,18.139674,18.162922,18.120042,18.214203,17.761346
11.565724,12.994061,12.702309,12.740943,13.038908,12.985582,12.980322,13.053352,13.090645,12.690575
9.408087,10.323777,10.078399,10.123301,10.332561,10.293811,10.281245,10.345229,10.381311,10.075861
7.773573,8.652667,8.392875,8.432483,8.648394,8.620736,8.602240,8.674607,8.703877,8.395727
2.104510,2.355435,2.155461,2.177277,2.373370,2.337953,2.273149,2.344305,2.358544,2.172655
1.788448,2.126433,1.965925,1.980077,2.041754,2.073155,2.044771,2.163579,2.165555,1.928397
1.525129,1.921478,1.802504,1.799983,1.841734,1.868003,1.869047,1.899280,1.931820,1.721729
1.144644,1.787734,1.648745,1.643186,1.726363,1.765134,1.733323,1.772545,1.810619,1.572520
1.128828,1.700050,1.696376,1.610624,1.678181,1.683379,1.657443,1.693288,1.729212,1.519967
1.189820,1.653619,1.638277,1.603577,1.609143,1.609330,1.590452,1.625765,1.666152,1.469594
1.308781,1.613622,1.568492,1.497199,1.581009,1.571467,1.545379,1.553363,1.579113,1.412508
1.321902,1.578064,1.528265,1.435481,1.560099,1.575596,1.470925,1.549425,1.529292,1.358170
1.388304,1.602716,1.530459,1.392260,1.550278,1.513883,1.476647,1.536470,1.473699,1.286175
1.382847,1.666173,1.391297,1.356393,1.546104,1.501904,1.458549,1.494725,1.425422,1.236940
1.256495,1.679103,1.346219,1.344053,1.565796,1.491605,1.506181,1.471053,1.378454,1.181802
1.047977,1.698962,1.319764,1.352895,1.586186,1.469780,1.452204,1.446350,1.410631,1.146986
1.196659,1.763603,1.270472,1.368817,1.619551,1.372227,1.455619,1.428639,1.434237,1.122829
1.436131,1.697906,1.365121,1.410967,1.606140,1.366277,1.390655,1.398735,1.464352,1.125524
1.613660,1.609701,1.371553,1.442183,1.559115,1.494740,1.390919,1.394300,1.486261,1.123557
1.664029,1.532886,1.419444,1.405007,1.517368,1.532486,1.265625,1.397301,1.539317,1.328199
1.876353,1.471184,1.475212,1.559965,1.512463,1.573176,1.386835,1.469395,1.473904,1.444155
1.652200,1.369279,1.530588,1.669995,1.457253,1.632869,1.393260,1.401348,1.394943,1.490202
1.267217,1.357351,1.335511,1.729109,1.382631,1.630250,1.441039,1.511419,1.437236,1.533597
1.026979,1.415687,1.329916,1.761252,1.297120,1.396395,1.400880,1.521973,1.707597,1.614240
0.985936,1.644676,1.287429,1.749760,1.237232,1.396319,1.444293,1.543342,1.768457,1.344681
0.904289,1.745484,1.431704,1.539730,1.119094,1.328903,1.230998,1.498453,1.855449,1.176554
0.953974,1.820246,1.454297,1.343831,1.032779,1.272353,1.137480,1.547747,2.149853,1.088830
1.031214,1.933731,1.552323,1.204192,0.978656,1.267146,1.225297,1.351258,2.274993,1.030578
1.108103,1.884135,1.603671,1.089791,1.007813,1.327739,1.236505,1.307786,1.976326,0.853645
1.223085,1.595476,1.638296,1.021090,0.977851,1.169376,1.234560,1.341447,1.921400,0.843772
